movie,duration,metascore,gross,critic_reviews,awards_wins,popularity,awards_nominations,golden_globes_nominated,oscar_nominated
Kate & Leopold,118,44.0,47100000.0,125.0,1,2363.0,4,2,1
Chicken Run,84,88.0,106790000.0,186.0,5,2859.0,11,1,0
Fantastic Four,106,40.0,154700000.0,278.0,0,1876.0,0,0,0
Frida,123,61.0,25780000.0,126.0,2,2508.0,12,2,1
The Lord of the Rings: The Fellowship of the Ring,178,92.0,313840000.0,296.0,26,204.0,67,4,1
Mission: Impossible II,123,59.0,215400000.0,234.0,1,2153.0,2,0,0
Resident Evil,100,33.0,39530000.0,225.0,0,355.0,0,0,0
X-Men,104,64.0,157300000.0,289.0,0,655.0,3,0,0
The Emperor's New Groove,78,70.0,89300000.0,141.0,2,1332.0,7,1,1
Corpse Bride,77,83.0,53340000.0,266.0,0,2022.0,5,0,1
Star Wars: Episode II - Attack of the Clones,142,54.0,310680000.0,291.0,0,544.0,6,0,1
Star Wars: Episode III - Revenge of the Sith,140,68.0,380260000.0,356.0,2,387.0,7,0,1
Shrek,90,84.0,267650000.0,212.0,9,1064.0,22,1,1
Planet of the Apes,119,50.0,180010000.0,230.0,0,1144.0,5,0,0
Treasure Planet,95,60.0,38120000.0,127.0,0,2568.0,1,0,1
Pitch Black,109,49.0,39240000.0,211.0,0,1353.0,0,0,0
Training Day,122,69.0,76260000.0,109.0,2,930.0,7,1,1
U-571,116,62.0,77090000.0,178.0,0,3236.0,0,0,1
American Psycho,102,64.0,15050000.0,284.0,0,515.0,3,0,0
Spider-Man,121,73.0,403710000.0,291.0,1,437.0,6,0,1
Lara Croft: Tomb Raider,100,33.0,131140000.0,198.0,0,2068.0,0,0,0
High Fidelity,113,79.0,27280000.0,175.0,0,2450.0,7,1,0
The Flintstones in Viva Rock Vegas,90,27.0,35230000.0,57.0,0,2495.0,0,0,0
Cold Mountain,154,73.0,95630000.0,196.0,5,779.0,35,8,1
Charlie's Angels,98,52.0,125310000.0,179.0,0,2293.0,1,0,0
Nowhere in Africa,141,72.0,6170000.0,73.0,0,,1,1,1
Cast Away,143,73.0,233630000.0,222.0,6,690.0,15,1,1
Ghost World,111,88.0,6200000.0,123.0,4,2232.0,21,2,1
Jurassic Park III,92,42.0,181170000.0,197.0,0,2041.0,1,0,0
The Beach,119,43.0,39780000.0,118.0,0,1240.0,0,0,0
Hollow Man,112,24.0,73210000.0,177.0,0,2149.0,0,0,1
The Sum of All Fears,124,45.0,118470000.0,176.0,0,1974.0,0,0,0
Along Came a Spider,104,42.0,74060000.0,133.0,0,1872.0,0,0,0
Romeo Must Die,115,52.0,55970000.0,69.0,0,2339.0,0,0,0
Spirit: Stallion of the Cimarron,83,52.0,73220000.0,105.0,0,3222.0,4,1,1
Mulholland Drive,147,81.0,7220000.0,253.0,11,564.0,29,4,1
Hellboy,122,72.0,59040000.0,243.0,0,1092.0,1,0,0
The Lord of the Rings: The Return of the King,201,94.0,377020000.0,325.0,48,327.0,72,4,1
The Lord of the Rings: The Two Towers,179,88.0,340480000.0,292.0,25,590.0,60,2,1
Dancer in the Dark,140,61.0,4160000.0,125.0,3,3270.0,17,2,1
Lagaan: Once Upon a Time in India,224,84.0,,69.0,0,3473.0,0,0,1
How the Grinch Stole Christmas,104,46.0,260030000.0,176.0,2,1593.0,9,1,1
Bad Boys II,147,38.0,138400000.0,94.0,0,1569.0,0,0,0
Gladiator,155,64.0,187670000.0,265.0,18,365.0,51,5,1
Scary Movie,88,48.0,157000000.0,94.0,0,1213.0,0,0,0
The Perfect Storm,130,59.0,182620000.0,229.0,1,3304.0,7,0,1
Quills,124,70.0,7060000.0,132.0,3,3271.0,23,2,1
Requiem for a Dream,102,68.0,3610000.0,238.0,9,245.0,28,1,1
Minority Report,145,80.0,132010000.0,251.0,4,874.0,26,0,1
Terminator 3: Rise of the Machines,109,66.0,150350000.0,278.0,0,1166.0,0,0,0
Traffic,147,86.0,124110000.0,220.0,18,1469.0,47,5,1
Almost Famous,122,90.0,32520000.0,146.0,22,1002.0,55,4,1
Boiler Room,120,63.0,16940000.0,131.0,0,2410.0,2,0,0
"Me, Myself & Irene",116,49.0,90570000.0,154.0,0,2501.0,0,0,0
Pollock,122,77.0,8600000.0,114.0,1,,2,0,1
A Knight's Tale,132,54.0,56080000.0,165.0,1,1236.0,1,0,0
Wonder Boys,107,73.0,19390000.0,172.0,9,,30,4,1
Battlefield Earth,118,9.0,21470000.0,173.0,0,1982.0,0,0,0
Little Nicky,90,38.0,39440000.0,86.0,0,2772.0,0,0,0
Frequency,118,67.0,44980000.0,170.0,0,2283.0,2,1,0
Space Cowboys,130,73.0,90450000.0,166.0,0,3244.0,0,0,1
Gone in Sixty Seconds,118,35.0,101640000.0,175.0,0,1388.0,0,0,0
The Patriot,165,63.0,113330000.0,190.0,0,884.0,2,0,1
Blade II,117,52.0,81650000.0,224.0,0,1700.0,0,0,0
Shadow of the Vampire,92,71.0,8280000.0,199.0,3,,8,1,1
"Crouching Tiger, Hidden Dragon",120,93.0,128070000.0,288.0,28,2121.0,66,3,1
"O Brother, Where Art Thou?",107,69.0,45510000.0,201.0,1,970.0,11,2,1
Vatel,103,44.0,50000.0,31.0,0,,0,0,1
Vertical Limit,124,48.0,68470000.0,131.0,0,2228.0,1,0,0
The Replacements,118,30.0,44740000.0,119.0,0,699.0,0,0,0
Erin Brockovich,131,73.0,125550000.0,166.0,13,1230.0,38,4,1
Final Destination,98,36.0,53300000.0,211.0,0,1432.0,0,0,0
Zoolander,90,61.0,45160000.0,135.0,0,1460.0,0,0,0
Where the Heart Is,120,30.0,33770000.0,78.0,0,2755.0,0,0,0
"Monsters, Inc.",92,78.0,289910000.0,249.0,1,1023.0,8,0,1
Love & Basketball,124,70.0,27440000.0,67.0,0,1727.0,0,0,0
Coyote Ugly,100,27.0,60790000.0,154.0,0,1673.0,0,0,0
Moulin Rouge!,127,66.0,57390000.0,209.0,24,947.0,62,6,1
Men of Honor,129,56.0,48810000.0,97.0,0,2837.0,0,0,0
Sexy Beast,89,79.0,6940000.0,148.0,3,2800.0,9,1,1
You Can Count on Me,111,85.0,9180000.0,124.0,5,1922.0,16,2,1
The Watcher,97,22.0,28930000.0,103.0,0,2819.0,0,0,0
Bring It On,98,52.0,68350000.0,138.0,0,1386.0,0,0,0
Children of Men,109,84.0,35290000.0,375.0,13,581.0,31,0,1
What Women Want,127,47.0,182810000.0,151.0,0,2292.0,1,1,0
Snatch,102,55.0,30090000.0,151.0,0,307.0,0,0,0
The Contender,126,59.0,17800000.0,139.0,0,,6,2,1
Everybody's Famous!,97,60.0,70000.0,35.0,0,,0,0,1
Ken Park,93,,,87.0,0,2211.0,0,0,0
Memento,113,80.0,25530000.0,274.0,10,441.0,26,1,1
The Mummy Returns,130,48.0,202010000.0,202.0,0,1091.0,0,0,0
"Wedding Planner - verliebt, verlobt, verplant",103,33.0,60400000.0,107.0,0,2415.0,0,0,0
The Cell,107,40.0,61280000.0,226.0,2,982.0,5,0,1
Remember the Titans,113,48.0,115650000.0,156.0,0,767.0,0,0,0
102 Dalmatians,100,35.0,66940000.0,83.0,0,,0,0,1
Jason X,91,25.0,12610000.0,204.0,0,1425.0,0,0,0
AmЋlie,122,69.0,33200000.0,245.0,7,680.0,20,1,1
Meet the Parents,108,73.0,166230000.0,148.0,1,2322.0,2,1,1
Miss Congeniality,109,43.0,106810000.0,140.0,0,1384.0,2,2,0
A.I. Artificial Intelligence,146,65.0,78620000.0,281.0,2,1157.0,22,3,1
Hannibal,131,57.0,165090000.0,276.0,0,896.0,0,0,0
Pearl Harbor,183,44.0,198540000.0,191.0,0,314.0,7,2,1
MalЏna,109,54.0,3430000.0,86.0,0,1623.0,4,2,1
Road Trip,93,55.0,68530000.0,103.0,0,1812.0,0,0,0
Enemy at the Gates,131,53.0,51400000.0,186.0,0,1228.0,0,0,0
The Taste of Others,112,78.0,640000.0,55.0,0,,0,0,1
Gangs of New York,167,72.0,77680000.0,232.0,13,267.0,51,5,1
Unbreakable,106,62.0,95000000.0,293.0,0,184.0,2,0,0
Original Sin,116,33.0,16250000.0,91.0,0,2280.0,0,0,0
The Family Man,125,42.0,75760000.0,124.0,0,2103.0,0,0,0
The Gift,111,62.0,11990000.0,169.0,0,2608.0,0,0,0
Blow,124,52.0,52940000.0,145.0,0,941.0,1,0,0
Atlantis: The Lost Empire,95,52.0,84040000.0,146.0,0,1955.0,4,0,0
Bedazzled,93,49.0,37880000.0,124.0,0,2636.0,0,0,0
The Others,104,74.0,96470000.0,243.0,2,1843.0,13,1,0
The Fast and the Furious,106,58.0,144510000.0,187.0,1,701.0,1,0,0
