movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
Kate & Leopold,118,44.0,47100000.0,4,2,1
Chicken Run,84,88.0,106790000.0,11,1,0
Fantastic Four,106,40.0,154700000.0,0,0,0
Frida,123,61.0,25780000.0,12,2,1
The Lord of the Rings: The Fellowship of the Ring,178,92.0,313840000.0,67,4,1
Mission: Impossible II,123,59.0,215400000.0,2,0,0
Resident Evil,100,33.0,39530000.0,0,0,0
X-Men,104,64.0,157300000.0,3,0,0
The Emperor's New Groove,78,70.0,89300000.0,7,1,1
Corpse Bride,77,83.0,53340000.0,5,0,1
Star Wars: Episode II - Attack of the Clones,142,54.0,310680000.0,6,0,1
Star Wars: Episode III - Revenge of the Sith,140,68.0,380260000.0,7,0,1
Shrek,90,84.0,267650000.0,22,1,1
Planet of the Apes,119,50.0,180010000.0,5,0,0
Treasure Planet,95,60.0,38120000.0,1,0,1
Pitch Black,109,49.0,39240000.0,0,0,0
Training Day,122,69.0,76260000.0,7,1,1
U-571,116,62.0,77090000.0,0,0,1
American Psycho,102,64.0,15050000.0,3,0,0
Spider-Man,121,73.0,403710000.0,6,0,1
Lara Croft: Tomb Raider,100,33.0,131140000.0,0,0,0
High Fidelity,113,79.0,27280000.0,7,1,0
The Flintstones in Viva Rock Vegas,90,27.0,35230000.0,0,0,0
Cold Mountain,154,73.0,95630000.0,35,8,1
Charlie's Angels,98,52.0,125310000.0,1,0,0
Nowhere in Africa,141,72.0,6170000.0,1,1,1
Cast Away,143,73.0,233630000.0,15,1,1
Ghost World,111,88.0,6200000.0,21,2,1
Jurassic Park III,92,42.0,181170000.0,1,0,0
The Beach,119,43.0,39780000.0,0,0,0
Hollow Man,112,24.0,73210000.0,0,0,1
The Sum of All Fears,124,45.0,118470000.0,0,0,0
Along Came a Spider,104,42.0,74060000.0,0,0,0
Romeo Must Die,115,52.0,55970000.0,0,0,0
Spirit: Stallion of the Cimarron,83,52.0,73220000.0,4,1,1
Mulholland Drive,147,81.0,7220000.0,29,4,1
Hellboy,122,72.0,59040000.0,1,0,0
The Lord of the Rings: The Return of the King,201,94.0,377020000.0,72,4,1
The Lord of the Rings: The Two Towers,179,88.0,340480000.0,60,2,1
Dancer in the Dark,140,61.0,4160000.0,17,2,1
Lagaan: Once Upon a Time in India,224,84.0,,0,0,1
How the Grinch Stole Christmas,104,46.0,260030000.0,9,1,1
Bad Boys II,147,38.0,138400000.0,0,0,0
Gladiator,155,64.0,187670000.0,51,5,1
Scary Movie,88,48.0,157000000.0,0,0,0
The Perfect Storm,130,59.0,182620000.0,7,0,1
Quills,124,70.0,7060000.0,23,2,1
Requiem for a Dream,102,68.0,3610000.0,28,1,1
Minority Report,145,80.0,132010000.0,26,0,1
