,movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
0,Kate & Leopold,118,44.0,47100000.0,4,2,1
1,Chicken Run,84,88.0,106790000.0,11,1,0
2,Fantastic Four,106,40.0,154700000.0,0,0,0
3,Frida,123,61.0,25780000.0,12,2,1
4,The Lord of the Rings: The Fellowship of the Ring,178,92.0,313840000.0,67,4,1
5,Mission: Impossible II,123,59.0,215400000.0,2,0,0
6,Resident Evil,100,33.0,39530000.0,0,0,0
7,X-Men,104,64.0,157300000.0,3,0,0
8,The Emperor's New Groove,78,70.0,89300000.0,7,1,1
9,Corpse Bride,77,83.0,53340000.0,5,0,1
10,Star Wars: Episode II - Attack of the Clones,142,54.0,310680000.0,6,0,1
11,Star Wars: Episode III - Revenge of the Sith,140,68.0,380260000.0,7,0,1
12,Shrek,90,84.0,267650000.0,22,1,1
13,Planet of the Apes,119,50.0,180010000.0,5,0,0
14,Treasure Planet,95,60.0,38120000.0,1,0,1
15,Pitch Black,109,49.0,39240000.0,0,0,0
16,Training Day,122,69.0,76260000.0,7,1,1
17,U-571,116,62.0,77090000.0,0,0,1
18,American Psycho,102,64.0,15050000.0,3,0,0
19,Spider-Man,121,73.0,403710000.0,6,0,1
20,Lara Croft: Tomb Raider,100,33.0,131140000.0,0,0,0
21,High Fidelity,113,79.0,27280000.0,7,1,0
22,The Flintstones in Viva Rock Vegas,90,27.0,35230000.0,0,0,0
23,Cold Mountain,154,73.0,95630000.0,35,8,1
24,Charlie's Angels,98,52.0,125310000.0,1,0,0
25,Nowhere in Africa,141,72.0,6170000.0,1,1,1
26,Cast Away,143,73.0,233630000.0,15,1,1
27,Ghost World,111,88.0,6200000.0,21,2,1
28,Jurassic Park III,92,42.0,181170000.0,1,0,0
29,The Beach,119,43.0,39780000.0,0,0,0
30,Hollow Man,112,24.0,73210000.0,0,0,1
31,The Sum of All Fears,124,45.0,118470000.0,0,0,0
32,Along Came a Spider,104,42.0,74060000.0,0,0,0
33,Romeo Must Die,115,52.0,55970000.0,0,0,0
34,Spirit: Stallion of the Cimarron,83,52.0,73220000.0,4,1,1
35,Mulholland Drive,147,81.0,7220000.0,29,4,1
36,Hellboy,122,72.0,59040000.0,1,0,0
37,The Lord of the Rings: The Return of the King,201,94.0,377020000.0,72,4,1
38,The Lord of the Rings: The Two Towers,179,88.0,340480000.0,60,2,1
39,Dancer in the Dark,140,61.0,4160000.0,17,2,1
40,Lagaan: Once Upon a Time in India,224,84.0,,0,0,1
41,How the Grinch Stole Christmas,104,46.0,260030000.0,9,1,1
42,Bad Boys II,147,38.0,138400000.0,0,0,0
43,Gladiator,155,64.0,187670000.0,51,5,1
44,Scary Movie,88,48.0,157000000.0,0,0,0
45,The Perfect Storm,130,59.0,182620000.0,7,0,1
46,Quills,124,70.0,7060000.0,23,2,1
47,Requiem for a Dream,102,68.0,3610000.0,28,1,1
48,Minority Report,145,80.0,132010000.0,26,0,1
49,Terminator 3: Rise of the Machines,109,66.0,150350000.0,0,0,0
50,Traffic,147,86.0,124110000.0,47,5,1
51,Almost Famous,122,90.0,32520000.0,55,4,1
52,Boiler Room,120,63.0,16940000.0,2,0,0
53,"Me, Myself & Irene",116,49.0,90570000.0,0,0,0
54,Pollock,122,77.0,8600000.0,2,0,1
55,A Knight's Tale,132,54.0,56080000.0,1,0,0
56,Wonder Boys,107,73.0,19390000.0,30,4,1
57,Battlefield Earth,118,9.0,21470000.0,0,0,0
58,Little Nicky,90,38.0,39440000.0,0,0,0
59,Frequency,118,67.0,44980000.0,2,1,0
60,Space Cowboys,130,73.0,90450000.0,0,0,1
61,Gone in Sixty Seconds,118,35.0,101640000.0,0,0,0
62,The Patriot,165,63.0,113330000.0,2,0,1
63,Blade II,117,52.0,81650000.0,0,0,0
64,Shadow of the Vampire,92,71.0,8280000.0,8,1,1
65,"Crouching Tiger, Hidden Dragon",120,93.0,128070000.0,66,3,1
66,"O Brother, Where Art Thou?",107,69.0,45510000.0,11,2,1
67,Vatel,103,44.0,50000.0,0,0,1
68,Vertical Limit,124,48.0,68470000.0,1,0,0
69,The Replacements,118,30.0,44740000.0,0,0,0
70,Erin Brockovich,131,73.0,125550000.0,38,4,1
71,Final Destination,98,36.0,53300000.0,0,0,0
72,Zoolander,90,61.0,45160000.0,0,0,0
73,Where the Heart Is,120,30.0,33770000.0,0,0,0
74,"Monsters, Inc.",92,78.0,289910000.0,8,0,1
75,Love & Basketball,124,70.0,27440000.0,0,0,0
76,Coyote Ugly,100,27.0,60790000.0,0,0,0
77,Moulin Rouge!,127,66.0,57390000.0,62,6,1
78,Men of Honor,129,56.0,48810000.0,0,0,0
79,Sexy Beast,89,79.0,6940000.0,9,1,1
80,You Can Count on Me,111,85.0,9180000.0,16,2,1
81,The Watcher,97,22.0,28930000.0,0,0,0
82,Bring It On,98,52.0,68350000.0,0,0,0
83,Children of Men,109,84.0,35290000.0,31,0,1
84,What Women Want,127,47.0,182810000.0,1,1,0
85,Snatch,102,55.0,30090000.0,0,0,0
86,The Contender,126,59.0,17800000.0,6,2,1
87,Everybody's Famous!,97,60.0,70000.0,0,0,1
88,Ken Park,93,,,0,0,0
89,Memento,113,80.0,25530000.0,26,1,1
90,The Mummy Returns,130,48.0,202010000.0,0,0,0
91,"Wedding Planner - verliebt, verlobt, verplant",103,33.0,60400000.0,0,0,0
92,The Cell,107,40.0,61280000.0,5,0,1
93,Remember the Titans,113,48.0,115650000.0,0,0,0
94,102 Dalmatians,100,35.0,66940000.0,0,0,1
95,Jason X,91,25.0,12610000.0,0,0,0
96,AmЋlie,122,69.0,33200000.0,20,1,1
97,Meet the Parents,108,73.0,166230000.0,2,1,1
98,Miss Congeniality,109,43.0,106810000.0,2,2,0
99,A.I. Artificial Intelligence,146,65.0,78620000.0,22,3,1
100,Hannibal,131,57.0,165090000.0,0,0,0
101,Pearl Harbor,183,44.0,198540000.0,7,2,1
102,MalЏna,109,54.0,3430000.0,4,2,1
103,Road Trip,93,55.0,68530000.0,0,0,0
104,Enemy at the Gates,131,53.0,51400000.0,0,0,0
105,The Taste of Others,112,78.0,640000.0,0,0,1
106,Gangs of New York,167,72.0,77680000.0,51,5,1
107,Unbreakable,106,62.0,95000000.0,2,0,0
108,Original Sin,116,33.0,16250000.0,0,0,0
109,The Family Man,125,42.0,75760000.0,0,0,0
110,The Gift,111,62.0,11990000.0,0,0,0
111,Blow,124,52.0,52940000.0,1,0,0
112,Atlantis: The Lost Empire,95,52.0,84040000.0,4,0,0
113,Bedazzled,93,49.0,37880000.0,0,0,0
114,The Others,104,74.0,96470000.0,13,1,0
115,The Fast and the Furious,106,58.0,144510000.0,1,0,0
116,The Matrix Reloaded,138,62.0,281490000.0,2,0,0
117,Divided We Fall,117,69.0,1320000.0,0,0,1
118,Equilibrium,107,33.0,1190000.0,0,0,0
119,Water,117,77.0,3220000.0,1,0,1
120,Ocean's Eleven,116,74.0,183410000.0,6,0,0
121,Serendipity,90,52.0,49970000.0,0,0,0
122,Chocolat,121,64.0,71310000.0,20,4,1
123,Harry Potter and the Sorcerer's Stone,152,64.0,317560000.0,25,0,1
124,Bully,108,45.0,510000.0,0,0,0
125,The Affair of the Necklace,118,42.0,430000.0,0,0,1
126,The Matrix Revolutions,129,47.0,139260000.0,1,0,0
127,The Man Who Wasn't There,116,73.0,7490000.0,22,3,1
128,Bridget Jones's Diary,97,66.0,71500000.0,10,2,1
129,Wet Hot American Summer,97,42.0,290000.0,0,0,0
130,Zus & zo,106,50.0,,0,0,1
131,Spirited Away,125,94.0,10050000.0,11,0,1
132,Y Tu Mam‡ TambiЋn,106,88.0,13620000.0,11,1,1
133,Thir13en Ghosts,91,30.0,41870000.0,0,0,0
134,Amores Perros,154,83.0,5380000.0,9,1,1
135,The Count of Monte Cristo,131,61.0,54230000.0,0,0,0
136,Die Another Day,133,56.0,160200000.0,2,1,0
137,Donnie Darko,113,71.0,730000.0,2,0,0
138,Before Night Falls,133,85.0,4220000.0,5,1,1
139,In the Bedroom,130,86.0,35918429.0,34,3,1
140,The Princess Diaries,111,52.0,108240000.0,1,0,0
141,Super Troopers,100,48.0,18490000.0,0,0,0
142,Ali,157,65.0,58180000.0,6,3,1
143,Billy Elliot,110,74.0,21990000.0,42,2,1
144,Legally Blonde,96,59.0,95000000.0,3,2,0
145,Unfaithful,124,63.0,52750000.0,7,1,1
146,How to Lose a Guy in 10 Days,116,45.0,105810000.0,0,0,0
147,House of 1000 Corpses,89,31.0,12580000.0,0,0,0
148,Maid in Manhattan,105,45.0,93820000.0,0,0,0
149,American Pie 2,108,43.0,145100000.0,1,0,0
150,The Pianist,150,85.0,32519322.0,19,2,1
151,Reign of Fire,101,39.0,43060000.0,0,0,0
152,Star Trek: Nemesis,116,51.0,43120000.0,0,0,0
153,Shallow Hal,114,48.0,70840000.0,0,0,0
154,Sweet Home Alabama,108,45.0,127210000.0,0,0,0
155,Road to Perdition,117,72.0,104050000.0,24,1,1
156,Scary Movie 2,83,29.0,71280000.0,0,0,0
157,About Schmidt,125,85.0,65010000.0,33,5,1
158,Panic Room,112,65.0,95310000.0,3,0,0
159,The Quiet American,101,84.0,12990000.0,4,1,1
160,The Bourne Identity,119,68.0,121470000.0,1,0,0
161,My Big Fat Greek Wedding,95,62.0,241440000.0,15,2,1
162,Vanilla Sky,136,45.0,100610000.0,7,2,1
163,Jay and Silent Bob Strike Back,104,51.0,30060000.0,0,0,0
164,Jeepers Creepers - Es ist angerichtet,90,49.0,37470000.0,0,0,0
165,Catch Me If You Can,141,76.0,164440000.0,16,1,1
166,Black Hawk Down,142,74.0,108640000.0,10,0,1
167,The Girl Next Door,108,47.0,14590000.0,0,0,0
168,The Rookie,127,72.0,75600000.0,1,0,0
169,The Royal Tenenbaums,110,76.0,52350000.0,16,1,1
170,Finding Nemo,100,90.0,380840000.0,21,1,1
171,Kill Bill: Vol. 1,111,69.0,70100000.0,30,1,0
